Digital code,Currency code,Units,Currency name,Exchange rate
36,AUD,1,Австралийский доллар,56.3087
944,AZN,1,Азербайджанский манат,50.5614
51,AMD,100,Армянских драмов,22.1686
933,BYN,1,Белорусский рубль,27.7209
975,BGN,1,Болгарский лев,47.9690
986,BRL,1,Бразильский реал,15.2064
348,HUF,100,Венгерских форинтов,23.5530
410,KRW,1000,Вон Республики Корея,62.6398
704,VND,10000,Вьетнамских донгов,35.4451
344,HKD,1,Гонконгский доллар,11.0439
981,GEL,1,Грузинский лари,31.8231
208,DKK,1,Датская крона,12.5716
784,AED,1,Дирхам ОАЭ,23.4048
840,USD,1,Доллар США,85.9543
978,EUR,1,Евро,93.8419
818,EGP,10,Египетских фунтов,17.4600
356,INR,10,Индийских рупий,10.2385
360,IDR,10000,Индонезийских рупий,53.1139
398,KZT,100,Казахстанских тенге,17.9296
124,CAD,1,Канадский доллар,62.3128
634,QAR,1,Катарский риал,23.6138
417,KGS,10,Киргизских сомов,10.1436
156,CNY,1,Китайский юань,11.8074
498,MDL,10,Молдавских леев,48.5209
554,NZD,1,Новозеландский доллар,51.5425
934,TMT,1,Новый туркменский манат,24.5584
578,NOK,10,Норвежских крон,78.1794
985,PLN,1,Польский злотый,21.7463
946,RON,1,Румынский лей,18.8443
960,XDR,1,СДР (специальные права заимствования),114.7533
941,RSD,100,Сербских динаров,80.1433
702,SGD,1,Сингапурский доллар,64.7051
972,TJS,10,Таджикских сомони,81.1471
764,THB,10,Таиландских батов,24.2610
949,TRY,10,Турецких лир,25.7129
860,UZS,10000,Узбекских сумов,68.1313
980,UAH,10,Украинских гривен,20.9450
826,GBP,1,Фунт стерлингов Соединенного королевства,109.2135
203,CZK,10,Чешских крон,37.1421
752,SEK,10,Шведских крон,81.1655
756,CHF,1,Швейцарский франк,100.1215
710,ZAR,10,Южноафриканских рэндов,46.8385
392,JPY,100,Японских иен,59.3812
